name,address,latitude,longitude
26 Rue des Fossés Saint-Bernard,"26 Rue des Fossés Saint-Bernard, 75005 Paris, 프랑스",48.8484866,2.3540618
풀만 파리 타워 에펠,"풀만 파리 타워 에펠 18 Avenue De Suffren, 22 Rue Jean Rey Entrée Au, 75015 Paris, 프랑스",48.8556488,2.2928584
