name,address,latitude,longitude,list
MUSE - Science Museum,"MUSE - Science Museum, Corso del Lavoro e della Scienza, 3, 38122 Trento TN, 이탈리아",46.0624513,11.1149741,Museum like
Maison Carrée,"Maison Carrée, Pl. de la Maison Carrée, 30000 Nîmes, 프랑스",43.8381909,4.3561146,Museum like
Mariendom,"Mariendom, Elberfelder Str. 12, 42553 Velbert-Neviges, 독일",51.3128209,7.0871992,Museum like
Menninger Found Boundary,"Menninger Found Boundary, Topeka, KS 66606 미국",39.0571611,-95.7190396,Museum like
Nørrelandskirken,"Nørrelandskirken, Døesvej 1, 7500 Holstebro, 덴마크",56.3650068,8.6109419,Museum like
PA Consulting Global Innovation and Technology Centre,"PA Consulting Global Innovation and Technology Centre, Back Ln, Melbourn, Royston SG8 6DP 영국",52.0752997,0.0118103,Museum like
Phaeno Science Center,"Phaeno Science Center, Willy-Brandt-Platz 1, 38440 Wolfsburg, 독일",52.4288531,10.7904745,Museum like
Piscina das Marés,Piscina das Marés,41.1927777,-8.7074999,Museum like
Porto School of Architecture,"Porto School of Architecture, Via Panorâmica S/N |, 4150-564 Porto, 포르투갈",41.1503022,-8.6369821,Museum like
Rodin Museum Meudon,"Rodin Museum Meudon, 19 Av. Auguste Rodin, 92190 Meudon, 프랑스",48.814692,2.2517668,Museum like
Sainte-Chapelle,"Sainte-Chapelle, 10 Bd du Palais, 75001 Paris, 프랑스",48.855375,2.3449609,Museum like
Salk Institute for Biological Studies,"Salk Institute for Biological Studies, 10010 N Torrey Pines Rd, La Jolla, CA 92037 미국",32.8873915,-117.2453427,Museum like
Sceners Gallery,"Sceners Gallery, 88 Bd de Ménilmontant, 75020 Paris, 프랑스",48.8647435,2.3860365,Museum like
Schule Leutschenbach,"Schule Leutschenbach, Saatlenfussweg 3, 8050 Zürich, 스위스",47.4135881,8.5628616,Museum like
Shah Abbas Mosque,"Isfahan Province Isfahan ضلع جنوبی, میدان, No. No, Shah Abbas Mosque, 이란",32.6551665,51.6780497,Museum like
Siège du Parti communiste français,"Siège du Parti communiste français, 2 Pl. du Colonel Fabien, 75019 Paris, 프랑스",48.8779062,2.3719945,Museum like
Tchoban Foundation - Museum of architectural drawing,"Tchoban Foundation - Museum of architectural drawing, Christinenstraße 18a, 10119 Berlin-Bezirk Pankow, 독일",52.5321128,13.4099708,Museum like
The Broken Arm,"The Broken Arm, 12 Rue Perrée, 75003 Paris, 프랑스",48.864666,2.361521,Museum like
Utrecht Town Hall Rehabilitation,"Utrecht Town Hall Rehabilitation, Ganzenmarkt 3, 3512 GZ Utrecht, 네덜란드",52.0920315,5.1193112,Museum like
Villa Turque,"Villa Turque, Rue du Doubs 167, 2300 La Chaux-de-Fonds, 스위스",47.0995882,6.8170294,Museum like
Vitra Campus,"Vitra Campus, Charles-Eames-Straße 2, 79576 Weil am Rhein, 독일",47.6019783,7.6185332,Museum like
Yale Center for British Art,"Yale Center for British Art, 1080 Chapel St, New Haven, CT 06510 미국",41.3079669,-72.9306417,Museum like
Yale University Art Gallery,"Yale University Art Gallery, 1111 Chapel St, New Haven, CT 06510 미국",41.308363,-72.9309775,Museum like
Σχολή Τουριστικών Επαγγελμάτων Αναβύσσου,"Σχολή Τουριστικών Επαγγελμάτων Αναβύσσου, Leof. Athinon Souniou, Anavissos 190 13 그리스",37.7187014,23.9192812,Museum like
국가의회 의사당,"국가의회 의사당 Platz der Republik 1, 11011 Berlin, 독일",52.5186202,13.3761872,Museum like
국립 현대미술관,"국립 현대미술관 Viale delle Belle Arti, 131, 00197 Roma RM, 이탈리아",41.9168866,12.4819584,Museum like
까레 다르,"까레 다르 16 Pl. de la Maison Carrée, 30000 Nîmes, 프랑스",43.838023,4.35503,Museum like
노트르담 뒤 오,"노트르담 뒤 오 13 Rue de la Chapelle, 70250 Ronchamp, 프랑스",47.704618,6.620545,Museum like
뉴욕 현대 미술관,"뉴욕 현대 미술관 11 W 53rd St, New York, NY 10019 미국",40.7614327,-73.9776216,Museum like
더 게티,"더 게티 1200 Getty Center Dr, Los Angeles, CA 90049 미국",34.0773438,-118.4732648,Museum like
더 글래스고 스쿨 오브 아트,"더 글래스고 스쿨 오브 아트 167 Renfrew St, Glasgow G3 6RQ 영국",55.866147,-4.2636933,Museum like
라빌레트 공원,"라빌레트 공원 211 Av. Jean Jaurès, 75019 Paris, 프랑스",48.8931617,2.3905342,Museum like
로댕 미술관,"로댕 미술관 77 Rue de Varenne, 75007 Paris, 프랑스",48.8553072,2.3158354,Museum like
루브르 박물관,"루브르 박물관 75001 Paris, 프랑스",48.8606111,2.337644,Museum like
마르모탕 모네 미술관,"마르모탕 모네 미술관 2 Rue Louis Boilly, 75016 Paris, 프랑스",48.8592349,2.2672231,Museum like
몽소 공원,"몽소 공원 75008 Paris, 프랑스",48.8796835,2.308955,Museum like
바스콘셀로스 도서관,"바스콘셀로스 도서관 Eje 1 Nte. S/N, Buenavista, Cuauhtémoc, 06350 Ciudad de México, CDMX, 멕시코",19.4464563,-99.1509646,Museum like
벨로드롬,"벨로드롬 Paul-Heyse-Straße 26, 10407 Berlin-Bezirk Pankow, 독일",52.5307469,13.4511174,Museum like
보르게세 미술관,"보르게세 미술관 Piazzale Scipione Borghese, 5, 00197 Roma RM, 이탈리아",41.9142103,12.4921442,Museum like
빌라 라호슈,"빌라 라호슈 10 Sq. du Dr Blanche, 75016 Paris, 프랑스",48.8518789,2.265319,Museum like
빌라 사보아,"빌라 사보아 82 Rue de Villiers, 78300 Poissy, 프랑스",48.9244245,2.0282804,Museum like
산타 사비나 성당,"산타 사비나 성당 Piazza Pietro D'Illiria, 1, 00153 Roma RM, 이탈리아",41.8842255,12.4796934,Museum like
산타카테리나 시장,"산타카테리나 시장 Av. de Francesc Cambó, 16, Ciutat Vella, 08003 Barcelona, 스페인",41.3863611,2.1781566,Museum like · Commercial
생트 피에르,"생트 피에르 Rue des Noyers, 42700 Firminy, 프랑스",45.3838219,4.2859967,Museum like
세계문화의 집,"세계문화의 집 John-Foster-Dulles-Allee 10, 10557 Berlin, 독일",52.5185185,13.3644649,Museum like
솔로몬 R. 구겐하임 미술관,"솔로몬 R. 구겐하임 미술관 1071 5th Ave, New York, NY 10128 미국",40.7829796,-73.9589706,Museum like
스코틀랜드 의회 빌딩,"스코틀랜드 의회 빌딩 Horse Wynd, Edinburgh EH99 1SP 영국",55.952282,-3.1748658,Museum like
시애틀 퍼블릭 라이브러리 - 중앙도서관,"시애틀 퍼블릭 라이브러리 - 중앙도서관 1000 4th Ave, Seattle, WA 98104 미국",47.6067659,-122.3326438,Museum like
아트 갤러리 오브 뉴사우스웨일스 주,"아트 갤러리 오브 뉴사우스웨일스 주 Art Gallery Rd, Sydney NSW 2000 오스트레일리아",-33.8688037,151.2174138,Museum like
오랑주리 미술관,"오랑주리 미술관 Jardin des Tuileries, 75001 Paris, 프랑스",48.8637884,2.3226724,Museum like
오르세 미술관,"오르세 미술관 Esplanade Valéry Giscard d'Estaing, 75007 Paris, 프랑스",48.8599614,2.3265614,Museum like
유배순교자 기념물,"유배순교자 기념물 7 Quai de l'Archevêché, 75004 Paris, 프랑스",48.8517573,2.3524438,Museum like
일본 국립문화재기구,"일본 국립문화재기구 13-9 Uenokoen, Taito City, Tokyo 110-0007 일본",35.7200066,139.7756635,Museum like
자크마르-앙드레 미술관,"자크마르-앙드레 미술관 158 Bd Haussmann, 75008 Paris, 프랑스",48.875553,2.310422,Museum like
조르주 퐁피두 센터,"조르주 퐁피두 센터 Place Georges-Pompidou, 75004 Paris, 프랑스",48.860642,2.352245,Museum like
쥐베흐니,프랑스 쥐베흐니,49.0766071,1.5290156,Museum like
진화과학 박물관,"진화과학 박물관 36 Rue Geoffroy-Saint-Hilaire, 75005 Paris, 프랑스",48.841693,2.3559336,Museum like
코펜하겐 카스트럽 국제공항,"코펜하겐 카스트럽 국제공항 (CPH) Lufthavnsboulevarden 6, 2770 Kastrup, 덴마크",55.6120128,12.6476789,Museum like
코펜힐 스키장,"코펜힐 스키장 Vindmøllevej 6, 2300 København, 덴마크",55.6846011,12.6200294,Museum like
쿨레 베르트 산책길,"쿨레 베르트 산책길 Coulée Verte René-Dumont, 75012 Paris, 프랑스",48.8494548,2.3714863,Museum like
크노소스 궁전,크노소스 궁전 Knosos 714 09 그리스,35.2979569,25.1627815,Museum like
크뢸러 뮐러 미술관,"크뢸러 뮐러 미술관 Houtkampweg 6, 6731 AW Otterlo, 네덜란드",52.0955802,5.8174162,Museum like
클래스 오브 1945 도서관,"클래스 오브 1945 도서관 21 Rear Elm St, Exeter, NH 03833 미국",42.978817,-70.9494927,Museum like
킴벨 아트 뮤지엄,"킴벨 아트 뮤지엄 3333 Camp Bowie Blvd, Fort Worth, TX 76107 미국",32.7485687,-97.3649208,Museum like
파리 지하납골당,"파리 지하납골당 1 Av. du Colonel Henri Rol-Tanguy, 75014 Paris, 프랑스",48.8339177,2.332391,Museum like
평화의 제단 박물관,"평화의 제단 박물관 Lungotevere in Augusta, 00186 Roma RM, 이탈리아",41.9058408,12.4754092,Museum like
피카소 미술관,"피카소 미술관 5 Rue de Thorigny, 75003 Paris, 프랑스",48.8596668,2.3626138,Museum like
학살된 유럽 유대인을 위한 기념물,"학살된 유럽 유대인을 위한 기념물 Cora-Berliner-Straße 1, 10117 Berlin, 독일",52.5139474,13.3787127,Museum like
호류지,"호류지 1-1-1 Horyuji Sannai, Ikaruga, Ikoma District, Nara 636-0115 일본",34.6147234,135.7341813,Museum like
호텔 일 팔라조,"호텔 일 팔라조 3 Chome-13-1 Haruyoshi, Chuo Ward, Fukuoka, 810-0003 일본",33.5899318,130.4074334,Museum like
10 Diego Vitagliano Pizzeria - Bagnoli,"10 Diego Vitagliano Pizzeria - Bagnoli, Via Nuova Agnano, 1, 80125 Napoli NA, 이탈리아",40.8170977,14.1756869,Restaurant
Big love,"Big love, 30 Rue Debelleyme, 75003 Paris, 프랑스",48.8620122,2.3637066,Restaurant
Bouillon Chartier Montparnasse,"Bouillon Chartier Montparnasse, 59 Bd du Montparnasse, 75006 Paris, 프랑스",48.844274,2.3232745,Restaurant
Bouillon République,"Bouillon République, 39 Bd du Temple, 75003 Paris, 프랑스",48.8661074,2.3646338,Restaurant
Brasserie Martin,"Brasserie Martin, 24 Rue Saint-Ambroise, 75011 Paris, 프랑스",48.8626617,2.3786846,Restaurant
Casa Di Mario,"Casa Di Mario, 132 Rue du Bac, 75007 Paris, 프랑스",48.8514598,2.3235353,Restaurant
Caseificio Borderi,"Caseificio Borderi, Via Emmanuele de Benedictis, 6, 96100 Siracusa SR, 이탈리아",37.0654701,15.293544,Restaurant
Chez Alain Miam Miam,"Chez Alain Miam Miam, 26 Rue Charlot, 75003 Paris, 프랑스",48.8622419,2.3619192,Restaurant
Chez Janou,"Chez Janou, 2 Rue Roger Verlomme, 75003 Paris, 프랑스",48.8567159,2.3671983,Restaurant
Da Jolly,"Da Jolly, P.zza Vicerè Caracciolo, 242, 90133 Palermo PA, 이탈리아",38.1172357,13.3639159,Restaurant
Felice a Testaccio | ROMA,"Felice a Testaccio | ROMA, Via Mastro Giorgio, 29, 00153 Roma RM, 이탈리아",41.8785303,12.4774325,Restaurant
Formaticus - Bar à fromages / Fromagerie,,48.8888124,2.3180049,Restaurant
Higuma,,48.8665886,2.3357844,Restaurant
LUCIANO Cucina Italiana - Roma,"LUCIANO Cucina Italiana - Roma, Piazza del Teatro di Pompeo, 18, 00186 Roma RM, 이탈리아",41.8962467,12.4729273,Restaurant
La Taverne de Montmartre,"La Taverne de Montmartre, 25 Rue Gabrielle, 75018 Paris, 프랑스",48.8857735,2.340414,Restaurant
La Taverne de Zhao,,48.8689464,2.336424,Restaurant
Le Café du Commerce,"Le Café du Commerce, 51 Rue du Commerce, 75015 Paris, 프랑스",48.846418,2.2954771,Restaurant
Le Colimaçon,"Le Colimaçon, 44 Rue Vieille du Temple, 75004 Paris, 프랑스",48.8579504,2.3579993,Restaurant
Le Florentin,"Le Florentin, 10 Rue Saint-Florentin, 75001 Paris, 프랑스",48.86761,2.3244488,Restaurant
Le Petit Bouillon Vavin,,48.841937,2.3305309,Restaurant
Le Petit Rétro,"Le Petit Rétro, 5 Rue Mesnil, 75116 Paris, 프랑스",48.8687918,2.2848688,Restaurant
Le Quincy,"Le Quincy, 28 Av. Ledru Rollin, 75012 Paris, 프랑스",48.8470716,2.3701354,Restaurant
Les Deux Magots,,48.854052,2.3331062,Restaurant
Lou Cantou,"Lou Cantou, Accès par le 61 rue de Provence, 35 Cité d'Antin, 75009 Paris, 프랑스",48.8739898,2.3337559,Restaurant
Marin Montagut,,48.848174,2.3315587,Restaurant
Ober Mamma,"Ober Mamma, 107 Bd Richard-Lenoir, 75011 Paris, 프랑스",48.8644739,2.3701387,Restaurant
Pane Condito,"Pane Condito, S.s.114, km 120, 96011 Agnone Bagni SR, 이탈리아",37.3070848,15.0949959,Restaurant
Pastificio Guerra,"Pastificio Guerra, V. della Croce, 8, 00187 Roma RM, 이탈리아",41.9064463,12.4809389,Restaurant
Printemps Haussmann,"Printemps Haussmann, Boulevard Haussmann, 파리 프랑스",48.8737795,2.3281392,Restaurant
Ristorante Fortunato al Pantheon,"Ristorante Fortunato al Pantheon, Via del Pantheon, 55, 00186 Roma RM, 이탈리아",41.8998024,12.4769102,Restaurant
Roscioli Salumeria con Cucina,"Roscioli Salumeria con Cucina, Via dei Giubbonari, 21, 00186 Roma RM, 이탈리아",41.894256,12.4742417,Restaurant
Septime La Cave,"Septime La Cave, 3 Rue Basfroi, 75011 Paris, 프랑스",48.853728,2.3802034,Restaurant
The Butcher of Paris,"The Butcher of Paris, 39 Rue de Bretagne, 75003 Paris, 프랑스",48.8629432,2.3621852,Restaurant
Tonnarello,"Tonnarello, V. della Paglia, 1/2/3, 00153 Roma RM, 이탈리아",41.889804,12.4693004,Restaurant
Trattoria Da Enzo,"Trattoria Da Enzo, Via dei Vascellari, 29, 00153 Roma RM, 이탈리아",41.8880847,12.4778554,Restaurant
Trattoria Sapori Di Casa,"Trattoria Sapori Di Casa, Viale dell'Università, 17, 00185 Roma RM, 이탈리아",41.9033791,12.5083245,Restaurant
华味居 Restaurant Chinese Huaweiju,"华味居 Restaurant Chinese Huaweiju, Via Filippo Turati, 9, 00185 Roma RM, 이탈리아",41.8991283,12.5014873,Restaurant
삼부자,,48.8763821,2.339655,Restaurant
카자 드 샤 다 보아 노바,"카자 드 샤 다 보아 노바 Av. Liberdade 1681, 4450-718 Leça da Palmeira, 포르투갈",41.2029074,-8.7150005,Restaurant · Museum like
