name,address,latitude,longitude
Il Gelato del Marchese,,48.85159,2.3380824
Pozzetto,,48.8566746,2.3562428
Pozzetto 2,,48.8567401,2.3570422
RAIMO GLACIER PARIS,,48.8398164,2.3983176
Une Glace à Paris,,48.8581179,2.3563274
