name,address,latitude,longitude
Fer à Cheval,,48.8583549,2.3516334
La Samaritaine,"La Samaritaine, 75001 Paris, 프랑스",48.8592564,2.3424255
Marché d‘Aligre,"Marché d‘Aligre, 30 Rue d'Aligre, 75012 Paris, 프랑스",48.8500235,2.3789591
르봉 마르셰 백화점,"르봉 마르셰 백화점 24 Rue de Sèvres, 75007 Paris, 프랑스",48.851204,2.324485
산타카테리나 시장,"산타카테리나 시장 Av. de Francesc Cambó, 16, Ciutat Vella, 08003 Barcelona, 스페인",41.3863611,2.1781566
